meta_id,variable_id,dttm,th,quality_flag_id
39,1,2021-12-13 00:00:00,5.192,2
39,1,2021-12-13 01:00:00,5.158,2
39,1,2021-12-13 02:00:00,5.278,2
39,1,2021-12-13 03:00:00,4.968,2
39,1,2021-12-13 04:00:00,4.119,2
39,1,2021-12-13 05:00:00,3.261,2
39,1,2021-12-13 06:00:00,3.155,2
39,1,2021-12-13 07:00:00,2.766,2
39,1,2021-12-13 08:00:00,2.837,2
39,1,2021-12-13 09:00:00,2.942,2
39,1,2021-12-13 10:00:00,4.758,2
39,1,2021-12-13 11:00:00,6.942,2
39,1,2021-12-13 12:00:00,8.513,2
39,1,2021-12-13 13:00:00,9.521,2
39,1,2021-12-13 14:00:00,9.324,2
39,1,2021-12-13 15:00:00,8.514,2
39,1,2021-12-13 16:00:00,6.487,2
39,1,2021-12-13 17:00:00,5.363,2
39,1,2021-12-13 18:00:00,4.605,2
39,1,2021-12-13 19:00:00,3.98,2
39,1,2021-12-13 20:00:00,3.208,2
39,1,2021-12-13 21:00:00,2.659,2
39,1,2021-12-13 22:00:00,2.624,2
39,1,2021-12-13 23:00:00,2.213,2
39,1,2021-12-14 00:00:00,1.728,2
39,1,2021-12-14 01:00:00,1.674,2
39,1,2021-12-14 02:00:00,1.221,2
39,1,2021-12-14 03:00:00,1.003,2
39,1,2021-12-14 04:00:00,0.765,2
39,1,2021-12-14 05:00:00,1.33,2
39,1,2021-12-14 06:00:00,1.89,2
39,1,2021-12-14 07:00:00,2.446,2
39,1,2021-12-14 08:00:00,2.642,2
39,1,2021-12-14 09:00:00,3.19,2
39,1,2021-12-14 10:00:00,4.17,2
39,1,2021-12-14 11:00:00,4.012,1
39,1,2021-12-14 12:00:00,5.003,2
39,1,2021-12-14 13:00:00,5.484,2
39,1,2021-12-14 14:00:00,5.467,2
39,1,2021-12-14 15:00:00,5.484,2
39,1,2021-12-14 16:00:00,4.848,2
39,1,2021-12-14 17:00:00,4.64,2
39,1,2021-12-14 18:00:00,4.311,2
39,1,2021-12-14 19:00:00,4.085,2
39,1,2021-12-14 20:00:00,3.805,2
39,1,2021-12-14 21:00:00,3.525,2
39,1,2021-12-14 22:00:00,3.595,2
39,1,2021-12-14 23:00:00,3.542,2
39,1,2021-12-15 00:00:00,3.7,2
39,1,2021-12-15 01:00:00,3.601,1
39,1,2021-12-15 02:00:00,3.613,2
39,1,2021-12-15 03:00:00,3.507,2
39,1,2021-12-15 04:00:00,3.665,2
39,1,2021-12-15 05:00:00,3.753,2
39,1,2021-12-15 06:00:00,3.858,2
39,1,2021-12-15 07:00:00,3.876,2
39,1,2021-12-15 08:00:00,3.613,2
39,1,2021-12-15 09:00:00,3.595,2
39,1,2021-12-15 10:00:00,4.102,2
39,1,2021-12-15 11:00:00,4.606,2
39,1,2021-12-15 12:00:00,4.779,2
39,1,2021-12-15 13:00:00,5.175,2
39,1,2021-12-15 14:00:00,5.141,2
39,1,2021-12-15 15:00:00,5.072,2
39,1,2021-12-15 16:00:00,4.831,2
39,1,2021-12-15 17:00:00,4.744,2
39,1,2021-12-15 18:00:00,4.686,1
39,1,2021-12-15 19:00:00,4.865,2
39,1,2021-12-15 20:00:00,4.484,2
39,1,2021-12-15 21:00:00,4.242,2
39,1,2021-12-15 22:00:00,4.259,2
39,1,2021-12-15 23:00:00,4.346,2
39,1,2021-12-16 00:00:00,4.172,2
39,1,2021-12-16 01:00:00,4.085,2
39,1,2021-12-16 02:00:00,4.015,2
39,1,2021-12-16 03:00:00,3.77,2
